"","...1","objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry","baumnamedeu_kompakt","che_y","che_x","lat.1","lat.2","lat.3","lat.4","lat.5","lat.6","lat.7","lat.8","lat.9","lat.10","lat.11","lat.12","lat.13","lat.14","lat.15","lat.16","lat.17","lat.18","lat.19","lat.20","lat.21","lat.22","lat.23","lat.24","lat.25","lat.26","lat.27","lat.28","lat.29","lat.30","lat.31","lat.32","lat.33","lat.34","lat.35","lat.36","lat.37","lat.38","lat.39","lat.40","lat.41","lat.42","lat.43","lat.44","lat.45","lat.46","lat.47","lat.48","lat.49","lat.50","lng.1","lng.2","lng.3","lng.4","lng.5","lng.6","lng.7","lng.8","lng.9","lng.10","lng.11","lng.12","lng.13","lng.14","lng.15","lng.16","lng.17","lng.18","lng.19","lng.20","lng.21","lng.22","lng.23","lng.24","lng.25","lng.26","lng.27","lng.28","lng.29","lng.30","lng.31","lng.32","lng.33","lng.34","lng.35","lng.36","lng.37","lng.38","lng.39","lng.40","lng.41","lng.42","lng.43","lng.44","lng.45","lng.46","lng.47","lng.48","lng.49","lng.50"
"1", 1,  0,"SW-607","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-607","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",14,"POINT (2686027.5 1251531.4)","Berg-Ahorn, Wald-Ahorn",2686028,1251531,47.40897,47.40898,47.40898,47.40898,47.40898,47.40899,47.40899,47.40899,47.40900,47.40900,47.40900,47.40900,47.40984,47.40903,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40883,47.40882,47.40882,47.40882,47.40882,47.40882,47.40882,47.40882,47.40882,47.40881,47.40882,47.40894,47.40894,47.40894,47.40894,47.40894,47.40895,47.40895,47.40895,47.40895,47.40895,47.40895,47.40896,47.40896,47.40896,47.40896,8.578452,8.577825,8.577701,8.577578,8.577452,8.577330,8.576829,8.576703,8.576332,8.576200,8.576074,8.575952,8.486521,8.572875,8.592607,8.592660,8.592830,8.592951,8.592932,8.593064,8.593144,8.593263,8.593243,8.593378,8.593458,8.593554,8.593574,8.593770,8.593881,8.594001,8.594080,8.594194,8.594313,8.594849,8.594177,8.581945,8.581824,8.581702,8.581578,8.581450,8.581323,8.581201,8.581068,8.580700,8.580578,8.580446,8.580289,8.580174,8.579810,8.579571
"2", 2,  3,"SW-612","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-612","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",12,"POINT (2685980.2 1251548)","Spitz-Ahorn",2685980,1251548,47.40912,47.40913,47.40913,47.40913,47.40913,47.40913,47.40914,47.40914,47.40914,47.40915,47.40915,47.40915,47.40999,47.40918,47.40898,47.40898,47.40898,47.40898,47.40898,47.40898,47.40898,47.40898,47.40898,47.40898,47.40897,47.40897,47.40897,47.40897,47.40897,47.40897,47.40897,47.40897,47.40897,47.40896,47.40897,47.40909,47.40909,47.40909,47.40909,47.40909,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40911,47.40911,47.40911,47.40911,8.578455,8.577829,8.577704,8.577581,8.577455,8.577333,8.576832,8.576706,8.576336,8.576203,8.576077,8.575955,8.486524,8.572878,8.592610,8.592663,8.592833,8.592955,8.592935,8.593067,8.593147,8.593266,8.593246,8.593381,8.593461,8.593557,8.593577,8.593773,8.593885,8.594004,8.594083,8.594197,8.594317,8.594852,8.594180,8.581949,8.581827,8.581705,8.581582,8.581453,8.581326,8.581204,8.581072,8.580703,8.580581,8.580449,8.580293,8.580177,8.579813,8.579575
"3", 3,  6,"SW-613","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-613","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",16,"POINT (2685970.8 1251551.4)","Spitz-Ahorn",2685971,1251551,47.40915,47.40916,47.40916,47.40916,47.40916,47.40917,47.40917,47.40917,47.40918,47.40918,47.40918,47.40918,47.41002,47.40921,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40901,47.40900,47.40900,47.40900,47.40900,47.40900,47.40900,47.40900,47.40900,47.40899,47.40900,47.40912,47.40912,47.40912,47.40912,47.40912,47.40913,47.40913,47.40913,47.40913,47.40913,47.40913,47.40914,47.40914,47.40914,47.40914,8.578456,8.577829,8.577705,8.577581,8.577456,8.577334,8.576833,8.576707,8.576336,8.576204,8.576078,8.575956,8.486525,8.572879,8.592611,8.592664,8.592834,8.592955,8.592936,8.593068,8.593147,8.593267,8.593247,8.593382,8.593461,8.593558,8.593578,8.593774,8.593885,8.594005,8.594084,8.594198,8.594317,8.594852,8.594181,8.581949,8.581827,8.581705,8.581582,8.581454,8.581327,8.581205,8.581072,8.580704,8.580582,8.580450,8.580293,8.580178,8.579814,8.579575
"4", 4,  9,"SW-614","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 367","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-614","Strassenbaum",0,"nicht zugeordnet",2003,"Eingemessen", 6,"POINT (2685961.5 1251554.8)","Spitz-Ahorn",2685962,1251555,47.40918,47.40919,47.40919,47.40919,47.40919,47.40920,47.40920,47.40920,47.40921,47.40921,47.40921,47.40921,47.41005,47.40924,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40904,47.40903,47.40903,47.40903,47.40903,47.40903,47.40903,47.40903,47.40903,47.40902,47.40903,47.40915,47.40915,47.40915,47.40915,47.40916,47.40916,47.40916,47.40916,47.40916,47.40916,47.40917,47.40917,47.40917,47.40917,47.40917,8.578456,8.577830,8.577705,8.577582,8.577456,8.577334,8.576834,8.576708,8.576337,8.576204,8.576079,8.575957,8.486525,8.572879,8.592612,8.592665,8.592834,8.592956,8.592936,8.593069,8.593148,8.593267,8.593247,8.593383,8.593462,8.593559,8.593579,8.593775,8.593886,8.594005,8.594085,8.594199,8.594318,8.594853,8.594181,8.581950,8.581828,8.581706,8.581583,8.581454,8.581327,8.581205,8.581073,8.580705,8.580583,8.580450,8.580294,8.580179,8.579814,8.579576
"5", 5, 12,"SW-615","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-615","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",16,"POINT (2685952 1251558.2)","Berg-Ahorn, Wald-Ahorn",2685952,1251558,47.40922,47.40922,47.40922,47.40922,47.40923,47.40923,47.40923,47.40923,47.40924,47.40924,47.40924,47.40924,47.41009,47.40927,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40907,47.40906,47.40906,47.40906,47.40906,47.40906,47.40906,47.40905,47.40906,47.40918,47.40918,47.40918,47.40918,47.40919,47.40919,47.40919,47.40919,47.40919,47.40919,47.40920,47.40920,47.40920,47.40920,47.40920,8.578457,8.577831,8.577706,8.577583,8.577457,8.577335,8.576834,8.576708,8.576338,8.576205,8.576079,8.575957,8.486526,8.572880,8.592612,8.592665,8.592835,8.592957,8.592937,8.593069,8.593149,8.593268,8.593248,8.593383,8.593463,8.593559,8.593579,8.593775,8.593887,8.594006,8.594085,8.594199,8.594319,8.594854,8.594182,8.581951,8.581829,8.581707,8.581584,8.581455,8.581328,8.581206,8.581074,8.580705,8.580583,8.580451,8.580295,8.580179,8.579815,8.579577
"6", 6, 15,"SW-616","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-616","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",12,"POINT (2685942.8 1251561.6)","Berg-Ahorn, Wald-Ahorn",2685943,1251562,47.40925,47.40925,47.40925,47.40925,47.40926,47.40926,47.40926,47.40926,47.40927,47.40927,47.40927,47.40927,47.41012,47.40930,47.40911,47.40911,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40910,47.40909,47.40909,47.40909,47.40909,47.40909,47.40909,47.40908,47.40909,47.40921,47.40921,47.40921,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40923,47.40923,47.40923,47.40923,47.40923,8.578458,8.577831,8.577707,8.577583,8.577458,8.577336,8.576835,8.576709,8.576338,8.576206,8.576080,8.575958,8.486527,8.572881,8.592613,8.592666,8.592835,8.592957,8.592937,8.593070,8.593149,8.593269,8.593249,8.593384,8.593463,8.593560,8.593580,8.593776,8.593887,8.594007,8.594086,8.594200,8.594319,8.594854,8.594183,8.581951,8.581829,8.581707,8.581584,8.581456,8.581329,8.581207,8.581074,8.580706,8.580584,8.580452,8.580295,8.580180,8.579816,8.579577
"7", 7, 18,"SW-620","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-620","Strassenbaum",0,"nicht zugeordnet",NA,"Eingemessen",15,"POINT (2685905 1251574.8)","Spitz-Ahorn",2685905,1251575,47.40936,47.40937,47.40937,47.40937,47.40937,47.40938,47.40938,47.40938,47.40939,47.40939,47.40939,47.40939,47.41023,47.40942,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40922,47.40921,47.40921,47.40921,47.40921,47.40921,47.40921,47.40921,47.40921,47.40920,47.40921,47.40933,47.40933,47.40933,47.40933,47.40934,47.40934,47.40934,47.40934,47.40934,47.40934,47.40935,47.40935,47.40935,47.40935,47.40935,8.578460,8.577834,8.577709,8.577586,8.577460,8.577338,8.576837,8.576712,8.576341,8.576208,8.576082,8.575960,8.486529,8.572883,8.592616,8.592668,8.592838,8.592960,8.592940,8.593073,8.593152,8.593271,8.593251,8.593387,8.593466,8.593563,8.593583,8.593779,8.593890,8.594009,8.594089,8.594203,8.594322,8.594857,8.594185,8.581954,8.581832,8.581710,8.581587,8.581458,8.581331,8.581209,8.581077,8.580708,8.580587,8.580454,8.580298,8.580183,8.579818,8.579580
"8", 8, 21,"SW-621","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-621","Strassenbaum",0,"nicht zugeordnet",1995,"Eingemessen", 7,"POINT (2685895.5 1251578)","Spitz-Ahorn",2685896,1251578,47.40939,47.40940,47.40940,47.40940,47.40940,47.40940,47.40941,47.40941,47.40941,47.40942,47.40942,47.40942,47.41026,47.40945,47.40925,47.40925,47.40925,47.40925,47.40925,47.40925,47.40925,47.40925,47.40925,47.40925,47.40924,47.40924,47.40924,47.40924,47.40924,47.40924,47.40924,47.40924,47.40924,47.40923,47.40924,47.40936,47.40936,47.40936,47.40936,47.40936,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40938,47.40938,47.40938,47.40938,8.578461,8.577834,8.577710,8.577587,8.577461,8.577339,8.576838,8.576712,8.576341,8.576209,8.576083,8.575961,8.486529,8.572884,8.592616,8.592669,8.592839,8.592961,8.592941,8.593073,8.593153,8.593272,8.593252,8.593387,8.593467,8.593563,8.593583,8.593779,8.593891,8.594010,8.594089,8.594203,8.594322,8.594858,8.594186,8.581954,8.581833,8.581711,8.581587,8.581459,8.581332,8.581210,8.581077,8.580709,8.580587,8.580455,8.580298,8.580183,8.579819,8.579580
"9", 9, 24,"SW-624","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-624","Strassenbaum",0,"nicht zugeordnet",2003,"Eingemessen", 5,"POINT (2685867.5 1251587.9)","Spitz-Ahorn",2685868,1251588,47.40948,47.40949,47.40949,47.40949,47.40949,47.40949,47.40950,47.40950,47.40950,47.40950,47.40951,47.40951,47.41035,47.40954,47.40934,47.40934,47.40934,47.40934,47.40934,47.40934,47.40934,47.40934,47.40934,47.40933,47.40933,47.40933,47.40933,47.40933,47.40933,47.40933,47.40933,47.40933,47.40933,47.40932,47.40933,47.40945,47.40945,47.40945,47.40945,47.40945,47.40945,47.40946,47.40946,47.40946,47.40946,47.40946,47.40946,47.40947,47.40947,47.40947,8.578463,8.577836,8.577712,8.577589,8.577463,8.577341,8.576840,8.576714,8.576343,8.576211,8.576085,8.575963,8.486531,8.572886,8.592618,8.592671,8.592841,8.592962,8.592943,8.593075,8.593155,8.593274,8.593254,8.593389,8.593469,8.593565,8.593585,8.593781,8.593892,8.594012,8.594091,8.594205,8.594324,8.594860,8.594188,8.581956,8.581834,8.581713,8.581589,8.581461,8.581334,8.581212,8.581079,8.580711,8.580589,8.580457,8.580300,8.580185,8.579821,8.579582
"10",10, 27,"SW-1138","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-1138","Strassenbaum",0,"nicht zugeordnet",2003,"Eingemessen", 5,"POINT (2685857.5 1251591.5)","Spitz-Ahorn",2685858,1251592,47.40951,47.40952,47.40952,47.40952,47.40952,47.40953,47.40953,47.40953,47.40954,47.40954,47.40954,47.40954,47.41038,47.40957,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40937,47.40936,47.40936,47.40936,47.40936,47.40936,47.40936,47.40936,47.40936,47.40935,47.40936,47.40948,47.40948,47.40948,47.40948,47.40949,47.40949,47.40949,47.40949,47.40949,47.40949,47.40950,47.40950,47.40950,47.40950,47.40950,8.578464,8.577837,8.577712,8.577589,8.577463,8.577341,8.576841,8.576715,8.576344,8.576211,8.576086,8.575964,8.486532,8.572886,8.592619,8.592672,8.592841,8.592963,8.592943,8.593076,8.593155,8.593275,8.593255,8.593390,8.593469,8.593566,8.593586,8.593782,8.593893,8.594012,8.594092,8.594206,8.594325,8.594860,8.594189,8.581957,8.581835,8.581713,8.581590,8.581462,8.581334,8.581212,8.581080,8.580712,8.580590,8.580457,8.580301,8.580186,8.579821,8.579583
