"","quartier","kname","area_sqm"
"1","Hirslanden","Kreis 7",2187004.27693718
"2","Weinegg","Kreis 8",1745287.99282003
"3","Mühlebach","Kreis 8",637832.751050106
"4","Seefeld","Kreis 8",2423442.65913371
"5","Werd","Kreis 4",305470.90054401
"6","Sihlfeld","Kreis 3",1660939.90959888
"7","Albisrieden","Kreis 9",4601383.10782841
"8","Hottingen","Kreis 7",5052528.70044776
"9","Wollishofen","Kreis 2",5780555.55820549
"10","Unterstrass","Kreis 6",2466185.63913812
"11","Höngg","Kreis 10",6983621.93764166
"12","Oerlikon","Kreis 11",2674599.21692081
"13","Affoltern","Kreis 11",6044381.04912353
"14","Leimbach","Kreis 2",2920165.24716099
"15","Enge","Kreis 2",2365205.75302318
"16","Gewerbeschule","Kreis 5",742982.859930456
"17","Langstrasse","Kreis 4",1207731.44304531
"18","Escher Wyss","Kreis 5",1253586.73991898
"19","Witikon","Kreis 7",4933789.51257981
"20","Hard","Kreis 4",1392488.20348366
"21","Lindenhof","Kreis 1",266556.670301966
"22","Wipkingen","Kreis 10",2102055.96259037
"23","City","Kreis 1",595056.967802693
"24","Rathaus","Kreis 1",357098.475991601
"25","Fluntern","Kreis 7",2843693.98649844
"26","Oberstrass","Kreis 6",2635030.50471798
"27","Saatlen","Kreis 12",1132952.36952493
"28","Seebach","Kreis 11",4709656.40044775
"29","Friesenberg","Kreis 3",5298074.57002308
"30","Hochschulen","Kreis 1",581418.181599814
"31","Altstetten","Kreis 9",7455448.3080506
"32","Hirzenbach","Kreis 12",2046415.57308459
"33","Schwamendingen-Mitte","Kreis 12",2786681.8272931
"34","Alt-Wiedikon","Kreis 3",1691828.74930538
